2016-12-14 10:50:00,834 - INFO  [main:QuorumPeerConfig@101] - Reading configuration from: /etc/zookeeper/conf/zoo.cfg
2016-12-14 10:50:00,838 - INFO  [main:QuorumPeerConfig@334] - Defaulting to majority quorums
2016-12-14 10:50:00,844 - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2016-12-14 10:50:00,844 - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2016-12-14 10:50:00,845 - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2016-12-14 10:50:00,859 - INFO  [main:QuorumPeerMain@127] - Starting quorum peer
2016-12-14 10:50:00,873 - INFO  [main:NIOServerCnxnFactory@94] - binding to port 0.0.0.0/0.0.0.0:2181
2016-12-14 10:50:00,896 - INFO  [main:QuorumPeer@913] - tickTime set to 2000
2016-12-14 10:50:00,896 - INFO  [main:QuorumPeer@933] - minSessionTimeout set to -1
2016-12-14 10:50:00,897 - INFO  [main:QuorumPeer@944] - maxSessionTimeout set to -1
2016-12-14 10:50:00,897 - INFO  [main:QuorumPeer@959] - initLimit set to 10
2016-12-14 10:50:00,916 - INFO  [main:QuorumPeer@429] - currentEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2016-12-14 10:50:00,935 - INFO  [main:QuorumPeer@444] - acceptedEpoch not found! Creating with a reasonable default of 0. This should only happen when you are upgrading your installation
2016-12-14 10:50:00,943 - INFO  [Thread-1:QuorumCnxManager$Listener@486] - My election bind port: 0.0.0.0/0.0.0.0:3888
2016-12-14 10:50:00,953 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:QuorumPeer@670] - LOOKING
2016-12-14 10:50:00,954 - INFO  [QuorumPeer[myid=4]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@740] - New election. My id =  4, proposed zxid=0x0
2016-12-14 10:50:00,965 - INFO  [WorkerReceiver[myid=4]:FastLeaderElection@542] - Notification: 4 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 4 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
2016-12-14 10:50:00,965 - INFO  [WorkerReceiver[myid=4]:FastLeaderElection@542] - Notification: 2 (n.leader), 0x0 (n.zxid), 0x1 (n.round), LOOKING (n.state), 2 (n.sid), 0x0 (n.peerEPoch), LOOKING (my state)
